filename1, filename2, unique_id_cast1, unique_id_cast2, same_moment_diff_loc_cruise, diff_records_in_same_Moment&Loc_cruise, scaled_records, rounded_truncate, wrong_location, wrong_date, wrong_moments, wrong_country, wrong_instru_types, identical_info, interpolated_pairs, CTD multiple observations, Instrument_cast1, Instrument_cast2, Accession_cast1, Accession_cast2, lat_cast1, lat_cast2, lon_cast1, lon_cast2, year_cast1, year_cast2, month_cast1, month_cast2, day_cast1, day_cast2, hour_cast1, hour_cast2, minute_cast1, minute_cast2,probe_type_cast1, probe_type_cast2, recorder_cast1, recorder_cast2, depth_number_cast1, depth_number_cast2, maximum_depth_cast1, maximum_depth_cast2, country_cast1, country_cast2, GMT_time_cast1, GMT_time_cast2, dbase_orig_cast1, dbase_orig_cast2,project_cast1, project_cast2, Platform_cast1, Platform_cast2, ocean_vehicle_cast1, ocean_vehicle_cast2, WOD_cruise_identifier1,WOD_cruise_identifier2,Institute1,Institute2,need_z_fix1,need_z_fix2,sum_depth_cast1, sum_depth_cast2, sum_temp_cast1, sum_temp_cast2, sum_salinity_cast1, sum_salinity_cast2
   wod_007274799O.nc,   wod_007275047O.nc,             7274799,             7275047, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0,                 XBT,                 XBT,       306,       306,   26.0833,    25.7333,  130.0667,   132.0000, 1995,  1995,  6,   6,  3,   4, 19,  19,  0,   0,   XBT: TYPE UNKNOWN,    XBT: TYPE UNKNOWN,                    ,                     ,    1,     1,     0.000,      0.000,   28,    28,  19.000 ,   19.000,        GTSP Program,         GTSP Program,                    ,                     ,HAKUREI MARU (R/V;call sign JBHT;built 03.1974;IMO7353999), HAKUREI MARU (R/V;call sign JBHT;built 03.1974;IMO7353999),                    ,                     ,            JP141577,             JP141577,                    ,                     ,                    ,                     ,         0.0000,          0.0000,        27.7000,         27.7000,         0.0000,          0.0000,
   wod_007275558O.nc,   wod_007275562O.nc,             7275558,             7275562, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0,                 XBT,                 XBT,       306,       306,   34.1000,    33.0000,  130.2000,   130.0000, 1995,  1995,  6,   6,  6,   6, 19,  19,  0,   0,   XBT: TYPE UNKNOWN,    XBT: TYPE UNKNOWN,                    ,                     ,    1,     1,     0.000,      0.000,  999,   999,  19.000 ,   19.000,        GTSP Program,         GTSP Program,                    ,                     ,                    ,                     ,                    ,                     ,                    ,                     ,                    ,                     ,                    ,                     ,         0.0000,          0.0000,        19.4000,         19.4000,         0.0000,          0.0000,
   wod_007274796O.nc,   wod_007274799O.nc,             7274796,             7274799, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0,                 XBT,                 XBT,       306,       306,   26.0833,    26.0833,  131.0000,   130.0667, 1995,  1995,  6,   6,  3,   3, 19,  19,  0,   0,   XBT: TYPE UNKNOWN,    XBT: TYPE UNKNOWN,                    ,                     ,    1,     1,     0.000,      0.000,   28,    28,  19.000 ,   19.000,        GTSP Program,         GTSP Program,                    ,                     ,HAKUREI MARU (R/V;call sign JBHT;built 03.1974;IMO7353999), HAKUREI MARU (R/V;call sign JBHT;built 03.1974;IMO7353999),                    ,                     ,            JP141577,             JP141577,                    ,                     ,                    ,                     ,         0.0000,          0.0000,        27.7000,         27.7000,         0.0000,          0.0000,
   wod_007274514O.nc,   wod_007274515O.nc,             7274514,             7274515, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0,                 XBT,                 XBT,       306,       306,   37.7667,    37.7833,  138.2667,   138.1000, 1995,  1995,  6,   6,  2,   2, 19,  19,  0,   0,   XBT: TYPE UNKNOWN,    XBT: TYPE UNKNOWN,                    ,                     ,    1,     1,     0.000,      0.000,  999,   999,  19.000 ,   19.000,        GTSP Program,         GTSP Program,                    ,                     ,                    ,                     ,                    ,                     ,                    ,                     ,                    ,                     ,                    ,                     ,         0.0000,          0.0000,        15.8000,         15.8000,         0.0000,          0.0000,
   wod_007275870O.nc,   wod_007276449O.nc,             7275870,             7276449, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0,                 XBT,                 XBT,       306,       306,   38.8167,    41.0333,  133.2167,   139.0000, 1995,  1995,  6,   6,  7,   9, 19,  19,  0,   0,   XBT: TYPE UNKNOWN,    XBT: TYPE UNKNOWN,                    ,                     ,    1,     1,     0.000,      0.000,   28,    28,  19.000 ,   19.000,        GTSP Program,         GTSP Program,                    ,                     ,SHOYO (R/V;call sign JCOD;built 02.1972;renamed Coral Orchid 1999;IMO7338614), SHOYO (R/V;call sign JCOD;built 02.1972;renamed Coral Orchid 1999;IMO7338614),                    ,                     ,            JP121926,             JP121926,                    ,                     ,                    ,                     ,         0.0000,          0.0000,        14.9000,         14.9000,         0.0000,          0.0000,
   wod_007275243O.nc,   wod_007275553O.nc,             7275243,             7275553, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0,                 XBT,                 XBT,       306,       306,   33.7000,    34.7000,  129.0000,   139.2500, 1995,  1995,  6,   6,  5,   6, 19,  19,  0,   0,   XBT: TYPE UNKNOWN,    XBT: TYPE UNKNOWN,                    ,                     ,    1,     1,     0.000,      0.000,  999,   999,  19.000 ,   19.000,        GTSP Program,         GTSP Program,                    ,                     ,                    ,                     ,                    ,                     ,                    ,                     ,                    ,                     ,                    ,                     ,         0.0000,          0.0000,        19.7000,         19.7000,         0.0000,          0.0000,
   wod_007276228O.nc,   wod_007276230O.nc,             7276228,             7276230, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0,                 XBT,                 XBT,       306,       306,   24.6000,    24.3500,  136.7333,   136.1667, 1995,  1995,  6,   6,  8,   8, 19,  19,  0,   0,   XBT: TYPE UNKNOWN,    XBT: TYPE UNKNOWN,                    ,                     ,    1,     1,     0.000,      0.000,   28,    28,  19.000 ,   19.000,        GTSP Program,         GTSP Program,                    ,                     ,HAKUREI MARU (R/V;call sign JBHT;built 03.1974;IMO7353999), HAKUREI MARU (R/V;call sign JBHT;built 03.1974;IMO7353999),                    ,                     ,            JP141577,             JP141577,                    ,                     ,                    ,                     ,         0.0000,          0.0000,        28.7000,         28.7000,         0.0000,          0.0000,
   wod_007275536O.nc,   wod_007275544O.nc,             7275536,             7275544, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0,                 XBT,                 XBT,       306,       306,   32.5667,    32.8333,  139.5667,   137.2333, 1995,  1995,  6,   6,  6,   6, 19,  19,  0,   0,   XBT: TYPE UNKNOWN,    XBT: TYPE UNKNOWN,                    ,                     ,    1,     1,     0.000,      0.000,  999,   999,  19.000 ,   19.000,        GTSP Program,         GTSP Program,                    ,                     ,                    ,                     ,                    ,                     ,                    ,                     ,                    ,                     ,                    ,                     ,         0.0000,          0.0000,        24.1000,         24.1000,         0.0000,          0.0000,
   wod_007274489O.nc,   wod_007274491O.nc,             7274489,             7274491, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0,                 XBT,                 XBT,       306,       306,   45.3333,    45.2500,  143.4167,   143.5167, 1995,  1995,  6,   6,  2,   2, 19,  19,  0,   0,   XBT: TYPE UNKNOWN,    XBT: TYPE UNKNOWN,                    ,                     ,    1,     1,     0.000,      0.000,  999,   999,  19.000 ,   19.000,        GTSP Program,         GTSP Program,                    ,                     ,                    ,                     ,                    ,                     ,                    ,                     ,                    ,                     ,                    ,                     ,         0.0000,          0.0000,         6.9000,          6.9000,         0.0000,          0.0000,
   wod_007275869O.nc,   wod_007276161O.nc,             7275869,             7276161, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0,                 XBT,                 XBT,       306,       306,   39.2500,    39.7500,  134.6333,   134.8167, 1995,  1995,  6,   6,  7,   8, 19,  19,  0,   0,   XBT: TYPE UNKNOWN,    XBT: TYPE UNKNOWN,                    ,                     ,    1,     1,     0.000,      0.000,   28,    28,  19.000 ,   19.000,        GTSP Program,         GTSP Program,                    ,                     ,SHOYO (R/V;call sign JCOD;built 02.1972;renamed Coral Orchid 1999;IMO7338614), SHOYO (R/V;call sign JCOD;built 02.1972;renamed Coral Orchid 1999;IMO7338614),                    ,                     ,            JP121926,             JP121926,                    ,                     ,                    ,                     ,         0.0000,          0.0000,        13.8000,         13.8000,         0.0000,          0.0000,
